+09.638,-00.105,+00.212
+09.761,-00.023,+00.261
+09.774,-00.002,+00.248
+09.742,-00.073,+00.235
+09.765,-00.126,+00.270
+09.794,-00.096,+00.277
+09.814,-00.056,+00.254
+08.505,+00.182,-00.723
+08.886,-00.005,-00.302
+09.769,+00.215,+00.217
+09.849,-00.010,+00.237
+09.775,-00.012,+00.245
+09.781,-00.050,+00.226
+09.756,-00.112,+00.271
+09.718,-00.129,+00.219
+09.789,+00.003,+00.244
+09.799,+00.015,+00.214
+09.776,-00.007,+00.183
+09.797,+00.019,+00.237
+09.837,+00.106,+00.194
+09.634,+00.385,-00.027
+09.834,+00.148,+00.163
+09.817,+00.153,+00.135
+09.821,+00.224,+00.094
+09.788,+00.103,+00.051
+09.788,+00.108,+00.105
+09.804,+00.083,+00.170
+09.804,+00.106,+00.138
+09.818,+00.101,+00.152
+09.811,+00.100,+00.109
+09.797,-00.146,-00.092
+09.813,-00.214,+00.017
+09.813,+00.199,+00.082
+09.781,+00.095,+00.027
+09.815,-00.082,+00.066
+09.784,-00.010,+00.027
+09.791,+00.084,+00.013
+09.804,+00.137,-00.059
+09.777,+00.209,-00.053
+09.811,+00.179,-00.031
+09.800,+00.232,+00.001
+09.794,+00.205,-00.006
+09.810,+00.130,+00.001
+09.805,+00.158,-00.003
+09.792,+00.152,-00.059
+09.800,+00.131,+00.003
+09.790,+00.101,+00.059
+09.791,-00.017,-00.079
+09.789,+00.020,-00.053
+09.794,+00.041,-00.015
+09.812,+00.222,+00.087
+09.790,+00.235,+00.085
+09.798,+00.089,-00.031
+09.788,+00.055,+00.007
+09.780,+00.108,-00.013
+09.798,+00.095,-00.004
+09.796,+00.089,+00.015
+09.780,+00.091,-00.016
+09.792,+00.075,+00.009
+09.804,+00.070,+00.020
+09.812,+00.075,-00.024
+09.797,+00.097,+00.017
+09.792,+00.088,+00.030
+09.806,+00.079,-00.015
+09.795,+00.104,-00.031
+09.806,+00.084,+00.018
+09.787,+00.081,-00.006
+09.807,+00.095,+00.021
+09.786,+00.098,-00.003
+09.806,+00.106,-00.015
+09.790,+00.097,+00.010
+09.784,+00.078,+00.011
+09.776,+00.089,+00.000
+09.782,+00.079,+00.016
+09.808,+00.095,+00.006
+09.786,+00.095,-00.010
+09.789,+00.082,+00.013
+09.808,+00.096,+00.034
+09.809,+00.110,+00.024
+09.810,+00.090,+00.002
+09.809,+00.103,+00.025
+09.802,+00.112,-00.011
+09.802,+00.094,+00.021
+09.783,+00.099,-00.019
+09.801,+00.104,+00.002
+09.812,+00.081,-00.019
+09.804,+00.091,+00.014
+09.801,+00.080,-00.003
+09.806,+00.073,-00.035
+09.786,+00.108,-00.007
+09.793,+00.097,-00.017
+09.781,+00.080,+00.019
+09.800,+00.102,-00.036
+09.812,+00.094,+00.009
+09.802,+00.084,-00.004
+09.798,+00.088,+00.016
+09.783,+00.087,-00.036
+09.803,+00.080,+00.016
+09.827,+00.087,+00.003
+09.786,+00.078,+00.004
+09.806,+00.082,+00.019
+09.780,+00.075,+00.005
+09.766,+00.091,+00.005
+09.808,+00.074,+00.021
+09.807,+00.080,+00.011
+09.779,+00.081,+00.011
+09.795,+00.090,+00.022
+09.796,+00.109,+00.011
+09.804,+00.098,-00.032
+09.776,+00.086,-00.001
+09.795,+00.091,+00.013
+09.798,+00.104,-00.004
+09.786,+00.077,+00.008
+09.803,+00.081,+00.023
+09.810,+00.081,-00.009
+09.778,+00.068,+00.021
+09.785,+00.105,-00.021
+09.799,+00.092,+00.009
+09.790,+00.092,-00.015
+09.776,+00.092,+00.042
+09.798,+00.104,+00.035
+09.811,+00.094,+00.011
+09.786,+00.093,-00.011
+09.800,+00.068,-00.001
+09.786,+00.100,-00.017
+09.799,+00.115,+00.012
+09.792,+00.087,+00.064
+09.790,+00.084,+00.034
+09.797,+00.091,-00.025
+09.799,+00.106,-00.004
+09.796,+00.086,+00.003
+09.787,+00.078,-00.019
+09.780,+00.103,+00.027
+09.803,+00.092,+00.029
+09.808,+00.088,+00.006
+09.801,+00.119,+00.010
+09.780,+00.106,+00.020
+09.817,+00.119,-00.010
+09.796,+00.084,+00.020
+09.786,+00.079,+00.043
+09.811,+00.082,+00.032
+09.794,+00.093,+00.023
+09.782,+00.115,-00.016
+09.800,+00.097,+00.001
+09.802,+00.096,+00.005
+09.800,+00.087,-00.037
+09.796,+00.083,-00.015
+09.793,+00.078,+00.028
+09.803,+00.098,-00.004
+09.779,+00.083,+00.000
+09.817,+00.100,+00.000
+09.805,+00.094,+00.003
+09.803,+00.110,-00.001
