$VNGPE,050424.799361,2078,0,00,+2163095.820,-4053748.500,+4423660.380,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+061.336,4.29E+00
$VNGPE,050425.000361,2078,0,00,+2163186.860,-4053704.370,+4423656.300,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+061.424,4.29E+00
$VNGPE,050425.200361,2078,0,00,+2196376.070,-4044504.810,+4415715.640,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+061.504,4.29E+00
$VNGPE,050425.400361,2078,0,00,+2196466.860,-4044462.020,+4415709.670,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+061.592,4.29E+00
$VNGPE,050425.600421,2078,0,00,+2224706.110,-4036522.810,+4408831.810,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+061.672,4.29E+00
$VNGPE,050425.800385,2078,0,00,+2191646.450,-4045768.670,+4416907.660,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+061.752,4.29E+00
$VNGPE,050426.000419,2078,0,00,+2224888.040,-4036439.150,+4408816.600,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+061.840,4.29E+00
$VNGPE,050426.200419,2078,0,00,+2224979.000,-4036397.320,+4408808.990,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+061.920,4.29E+00
$VNGPE,050426.400419,2078,0,00,+2225069.970,-4036355.490,+4408801.370,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+062.000,4.29E+00
$VNGPE,050426.600419,2078,0,00,+2225160.930,-4036313.670,+4408793.760,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+062.088,4.29E+00
$VNGPE,050426.800419,2078,0,00,+2225251.900,-4036271.840,+4408786.140,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+062.168,4.29E+00
$VNGPE,050427.000419,2078,0,00,+2257109.600,-4027202.040,+4400878.500,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+062.248,4.29E+00
$VNGPE,050427.200419,2078,0,00,+2229030.330,-4035172.850,+4407883.330,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+062.336,4.29E+00
$VNGPE,050427.400419,2078,0,00,+2257291.920,-4027120.550,+4400859.560,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+062.416,4.29E+00
$VNGPE,050427.600419,2078,0,00,+2257383.080,-4027079.800,+4400850.090,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+062.496,4.29E+00
$VNGPE,050427.800479,2078,0,00,+2286744.350,-4018607.320,+4393429.990,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+062.576,4.29E+00
$VNGPE,050427.992579,2078,0,00,+2401350.650,-3984488.730,+4363255.230,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+062.664,4.29E+00
$VNGPE,050428.192579,2078,0,00,+2401442.630,-3984452.890,+4363237.330,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+062.744,4.29E+00
$VNGPE,050428.399579,2078,0,00,+2401537.830,-3984415.800,+4363218.810,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+062.832,4.29E+00
$VNGPE,050428.599579,2078,0,00,+2372619.860,-3993176.180,+4371023.980,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+062.912,4.29E+00
$VNGPE,050428.799579,2078,0,00,+2372711.680,-3993139.350,+4371007.780,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+062.992,4.29E+00
$VNGPE,050428.999579,2078,0,00,+2372803.500,-3993102.520,+4370991.580,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+063.072,4.29E+00
$VNGPE,050429.199637,2078,0,00,+2344883.180,-4001448.910,+4378419.930,+000.000,+000.000,+000.000,+19485580.000,+19485580.000,+11250004.000,+063.152,4.29E+00
$VNGPE,050429.399637,2078,0,00,+2372987.150,-3993028.870,+4370959.170,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250003.000,+063.232,4.29E+00
$VNGPE,050429.599637,2078,0,00,+2373078.970,-3992992.040,+4370942.960,+000.000,+000.000,+000.000,+19485578.000,+19485578.000,+11250004.000,+063.320,4.29E+00
